Id No.,Name,URL,Trail Length,Length,Units,Groomed,Lit,Snowmaking,Notes,City,State/Province,lat,lon,lat/lon,Google-address,Google Maps URL,Secondary URL,Source
1205,Huron Hills Cross Country Ski Center,http://arborweb.com/recrindex.html,N/A unknown,N/A,unknown,skate and classic,Yes,N/A,"Several short groomed trails, classic and skating. Frequently, there is skiable snow in the back bowl when the ground is bare everywhere else. Many people ski here after work - there are enough city lights to see where you're going in the dark.",Ann Arbor,Michigan,42.27166,-83.6968,"42.27166,-83.6968","Huron Hills Cross Country Ski Center, 3465 E. Huron River Dr., Ann Arbor, MI",,,
1204,Teton Lakes Golf Course,http://rexburgski.blogspot.com/,15 Km,15,Km,Yes,N/A,N/A,"A golf course that is privately groomed, low rolling hills, often icy.",Rexburg,Idaho,43.8406,-111.817,"43.8406,-111.817","722 N 12th W, Rexburg, Idaho",,,
1202,Telluride,http://telluridenordic.com/,N/A Km,N/A,Km,unknown,N/A,N/A,None,CO 81435,Colorado,37.93749,-107.812,"37.93749,-107.812","Telluride, CO 81435, USA",,,
1201,Mt. Brighton,http://users.iglide.net/mtbrighton/mt__brighton_ski_area.htm,N/A unknown,N/A,unknown,unknown,N/A,N/A,"Buy a rope tow pass, ski around the base of the slopes to warm up, then start climbing those hills. See if you can beat the chairlift up! Or get a group of people together & setup a slalom course (go up & down it).",Brighton,Michigan,42.54078,-83.8116,"42.54078,-83.8116","Mt. Brighton, Brighton, MI",,,http://www.nordicskiracer.com
1200,Love Creek County Park,http://www.berriencounty.org/parks/lovecreek.html,10 Km,10,Km,skate and classic,N/A,N/A,"10km total (4k skating, 10k classic), flat to rolling terrain. Grooming is fair (tracks) to good (skating). Grooming is done via snowmobile with track setter.",Berrien Center,Michigan,41.9518,-86.2984,"41.9518,-86.2984","Love Creek County Park, 9228 Huckleberry Road, Berrien Center, MI",,,http://www.nordicskiracer.com
1199,Allison-Chinook,http://www.canadatrails.ca/xc_ski/ab/ab1.html,25 KM,25,KM,unknown,N/A,N/A,Trails: Allison-Chinook at the foot of Mount Tecumseh has 31 km of trails groomed for cross-country skiing by the Crowsnest Pass Cross Country Ski Association. Most of the trails are rated Easy or Intermediate. The trails are mainly singletrack but there a few double track and skating sections.,Coleman,Alberta,49.64325,-114.582,"49.64325,-114.582","Allison-Chinook, Coleman AB",,,http://www.canadatrails.ca
1198,Sandy McNabb,http://www.canadatrails.ca/xc_ski/ab/ab10.html,37 KM,37,KM,unknown,N/A,N/A,Trails: About 37 km of trail are groomed for cross-country skiing in the Sandy McNabb/Sheep Valley Provincial Park section of Kananaskis Country.,Turner Valley,Alberta,50.63631,-114.531,"50.63631,-114.531","Sandy McNabb, Turner Valley AB",,,http://www.canadatrails.ca
1197,West Bragg Creek,http://www.canadatrails.ca/xc_ski/ab/ab11.html,45 KM,45,KM,unknown,N/A,N/A,Trails: In the Elbow Valley section of Kananaskis Country 45 km of trails are groomed for cross-country skiing.,Bragg Creek,Alberta,50.94853,-114.693,"50.94853,-114.693","West Bragg Creek, Bragg Creek AB",,,http://www.canadatrails.ca
1196,Hawk Ridge Centre,http://www.canadatrails.ca/xc_ski/ab/ab11A.html,7 KM,7,KM,unknown,N/A,N/A,Trails: Hawk Ridge Centre is no longer operating as a cross-country ski centre. The following info is no longer applicable. If the centre resumes operations please send us an e-mail.,Calgary,Alberta,50.99045,-114.053,"50.99045,-114.053","Hawk Ridge Centre, Calgary AB",,,http://www.canadatrails.ca
1195,Canada Olympic Park,http://www.canadatrails.ca/xc_ski/ab/ab12.html,2 KM,2,KM,unknown,N/A,N/A,Trails: Canada Olympic Park has a 2 km trail groomed for cross-country skiing (skate and classic) and lighted for night skiing. The Calgary Ski Club maintains trails at three golf courses around Calgary including 7 km of groomed trails at Shaganappi Golf Course.,Calgary,Alberta,51.08491,-114.222,"51.08491,-114.222","Canada Olympic Park, Calgary AB",,,http://www.canadatrails.ca
1194,Banff townsite,http://www.canadatrails.ca/xc_ski/ab/ab14.html,33 KM,33,KM,unknown,N/A,N/A,Trails: Three trails on the south side of the town of Banff have a combined total of 33 km of trails groomed for cross-country skiing.Sundance trail (groomed rated Easy) runs 4 km along the Bow River then gently ascends to Sundance Canyon. It also connects to the Brewster Creek trail leading to Sundance Lodge.Spray River Loop (groomed rated Easy to Moderate) runs 12.5 km from Bow Falls along both sides of Spray River.The Goat Creek trail (groomed rated Moderate) continues from the far end of the Spray River Loop to a trailhead on Spray Lakes Road in Kananaskis Country. It's mainly uphill from Banff and a total distance of 19 km one way so its best to get dropped off on Spray Lake Road and ski to Banff if possible.There are also several backcountry trails including the Rundle Riverside trail extending 16 km to Canmore Nordic Centre.CAUTION: In backcountry areas there may be a possibility of avalanches check the park's avalanche bulletin before heading out and follow the proper avalanche safety guidelines.,Banff,Alberta,51.1784,-115.571,"51.1784,-115.571","Banff townsite, Banff AB",,,http://www.canadatrails.ca
1193,Sundance Trails,http://www.canadatrails.ca/xc_ski/ab/ab15.html,13 KM,13,KM,unknown,N/A,N/A,Trails: Brewster Creek Trail is a 11 km linear trail that leads to the Sundance backcountry lodge. The groomed cross-country ski trail is rated Moderate. In addition there are about another 40 km of backcountry trails in the region.CAUTION: In backcountry areas there may be a possibility of avalanche check the park's avalanche bulletin before heading out and follow the proper avalanche safety guidelines.,Banff,Alberta,51.16903,-115.591,"51.16903,-115.591","Sundance Trails, Banff AB",,,http://www.canadatrails.ca
1192,Lake Minnewanka/Cascade,http://www.canadatrails.ca/xc_ski/ab/ab16.html,15 KM,15,KM,unknown,N/A,N/A,Trails: A very popular trail in Banff National Park is the Cascade Trail at Lake Minnewanka which is a linear groomed trail (14 km each way). The trail is rated Easy and crosses the Cascade River near its midpoint.CAUTION: In backcountry areas there may be a possibility of avalanches check the park's avalanche bulletin before heading out and follow the proper avalanche safety guidelines.,Banff,Alberta,51.21175,-115.534,"51.21175,-115.534","Lake Minnewanka/Cascade, Banff AB",,,http://www.canadatrails.ca
1191,Castle Junction,http://www.canadatrails.ca/xc_ski/ab/ab17.html,21 KM,21,KM,unknown,N/A,N/A,Trails: Near Castle Junction in Banff National Park there are several trails suitable for cross-country skiing two of which are groomed: the Castle Junction and Red Earth Creek trails (both rated Moderate). Castle Junction trail is 9 km one way. Red Earth Creek trail is 12 km one way. Shadow Lake Lodge (open weekends Feb-Mar) is another 3 km past the end of the groomed trail. There are also several backcountry trails.CAUTION: In backcountry areas there may be a possibility of avalanche check the park's avalanche bulletin before heading out and follow the proper avalanche safety guidelines.,Banff,Alberta,51.26886,-115.918,"51.26886,-115.918","Castle Junction, Banff AB",,,http://www.canadatrails.ca
1190,Baker Creek,http://www.canadatrails.ca/xc_ski/ab/ab18.html,17 KM,17,KM,unknown,N/A,N/A,Trails: The Baker Creek region of Banff National Park has about 17 km of trails that are groomed for cross-country skiing plus there are some backcountry trails.CAUTION: In backcountry areas there may be a possibility of avalanche check the park's avalanche bulletin before heading out and follow the proper avalanche safety guidelines.,Lake Louise,Alberta,51.3488,-116.069,"51.3488,-116.069","Baker Creek, Lake Louise AB",,,http://www.canadatrails.ca
1189,Lake Louise,http://www.canadatrails.ca/xc_ski/ab/ab19.html,71 KM,71,KM,unknown,N/A,N/A,Trails: In the Lake Louise region of Banff National Park more than 50 km of trails are groomed for cross-country skiing plus there are some backcountry trails. Trails link the lake and town of Lake Louise and extend north and south including one that goes 10 km to the Great Divide and Yoho National Park.On the east side of the highway the Pipestone network provides another 20 km of ski trails. Most of the groomed trails in the Lake Louise area are rated Novice Easy and Moderate. Approximately 20 km are groomed for both classic and skate.CAUTION: In backcountry areas there may be a possibility of avalanche check the park's avalanche bulletin before heading out and follow the proper avalanche safety guidelines.,Lake Louise,Alberta,51.41244,-116.227,"51.41244,-116.227","Lake Louise, Lake Louise AB",,,http://www.canadatrails.ca
1188,Syncline,http://www.canadatrails.ca/xc_ski/ab/ab2.html,15 KM,15,KM,unknown,N/A,N/A,Trails: Syncline Provincial Recreation Area offers 17 km of trails groomed for cross-country skiing. Castle Mountain Resort located a few km south of Syncline also has a cross-country ski trail.,Beaver Mines,Alberta,49.35833,-114.462,"49.35833,-114.462","Syncline, Beaver Mines AB",,,http://www.canadatrails.ca
1187,Athabasca Falls,http://www.canadatrails.ca/xc_ski/ab/ab20.html,31 KM,31,KM,unknown,N/A,N/A,Trails: On the Icefields Parkway in Jasper National Park 25 km of trails are groomed for cross-country skiing on unplowed roads making three linear trails: Whirlpool and Leach Lake both about 10 km and rated Easy/Moderate and Geraldinr Road 6 km Very Difficult.,Jasper,Alberta,52.66444,-117.884,"52.66444,-117.884","Athabasca Falls, Jasper AB",,,http://www.canadatrails.ca
1186,Whistlers Campground,http://www.canadatrails.ca/xc_ski/ab/ab21.html,4 KM,4,KM,unknown,N/A,N/A,Trails: South of the town of Jasper several trails are groomed for cross-country skiing:,Jasper,Alberta,52.8505,-118.077,"52.8505,-118.077","Whistlers Campground, Jasper AB",,,http://www.canadatrails.ca
1185,Pyramid Lake Rd,http://www.canadatrails.ca/xc_ski/ab/ab22.html,17 KM,17,KM,unknown,N/A,N/A,Trails: In Jasper National Park 17 km of trails are groomed for cross-country skiing at two locations near the town of Jasper:,Jasper,Alberta,52.88535,-118.084,"52.88535,-118.084","Pyramid Lake Rd, Jasper AB",,,http://www.canadatrails.ca
1184,Jasper Park Lodge,http://www.canadatrails.ca/xc_ski/ab/ab23.html,29 KM,29,KM,unknown,N/A,N/A,Trails: Near Jasper Park Lodge are several ungroomed trails suitable for cross-country skiing.,Jasper,Alberta,52.88854,-118.053,"52.88854,-118.053","Jasper Park Lodge, Jasper AB",,,http://www.canadatrails.ca
1183,Maligne Road,http://www.canadatrails.ca/xc_ski/ab/ab24.html,45 KM,45,KM,unknown,N/A,N/A,Trails: On Maligne Road there are several trails that are suitable for cross-country skiing at two separate areas: Summit Lakes and Maligne Lake. Summit Lakes is a 4 km groomed linear trail that is rated Easy.CAUTION: In backcountry areas there may be a possibility of avalanche check the park's avalanche bulletin before heading out and follow the proper avalanche safety guidelines.,Jasper,Alberta,52.87067,-117.812,"52.87067,-117.812","Maligne Road, Jasper AB",,,http://www.canadatrails.ca
