X,Y,Name,descriptio,State,Address,Notes,Website,Urban_Area,ID,Distance_T,Miles_of_G
-120.2534233,39.3633936,Tahoe Donner,"State: California<br>Address: 15275 Alder Creek Rd, Tucker, CA<br>Notes: <br>Website: https://xcski.org/find-a-ski-area/wpbdp_category/new-mexico/<br>Urban Area: <br>ID: <br>Distance/Time to nearest Urban Area: <br>Miles of Groomed Trail:",California,"15275 Alder Creek Rd, Tucker, CA",,https://xcski.org/find-a-ski-area/wpbdp_category/new-mexico/,,,,
-120.3891698,39.3133934,Royal Gorge,"State: California<br>Address: 9411 Pahatsi Rd Soda Springs, CA<br>Notes: <br>Website: <br>Urban Area: <br>ID: <br>Distance/Time to nearest Urban Area: <br>Miles of Groomed Trail:",California,"9411 Pahatsi Rd Soda Springs, CA",,,,,,
-120.0722442,38.7023082,Kirkwood XC,"State: California<br>Address: Kirkwood, CA<br>Notes: <br>Website: <br>Urban Area: <br>ID: <br>Distance/Time to nearest Urban Area: <br>Miles of Groomed Trail:",California,"Kirkwood, CA",,,,,,
-120.1061923,39.1972293,Tahoe,"State: California<br>Address:  925 Country Club Dr Tahoe City, CA<br>Notes: <br>Website: <br>Urban Area: <br>ID: <br>Distance/Time to nearest Urban Area: <br>Miles of Groomed Trail:",California,"925 Country Club Dr Tahoe City, CA",,,,,,
-122.181241,41.317558,Mt Shasta,"State: California<br>Address: Forest Rte 31, Mt Shasta, CA 96067<br>Notes: <br>Website: <br>Urban Area: <br>ID: <br>Distance/Time to nearest Urban Area: <br>Miles of Groomed Trail:",California,"Forest Rte 31, Mt Shasta, CA 96067",,,,,,
-120.0422834,38.461523,Bear Valley,State: California<br>Address: #1 Bear Valley Rd Bear Valley CA<br>Notes: <br>Website: <br>Urban Area: <br>ID: <br>Distance/Time to nearest Urban Area: <br>Miles of Groomed Trail:,California,#1 Bear Valley Rd Bear Valley CA,,,,,,
-118.7230461,37.4689222,Rock Creek,"State: California<br>Address: 85 Rock Creek Rd Mammoth Lakes, CA<br>Notes: <br>Website: <br>Urban Area: <br>ID: <br>Distance/Time to nearest Urban Area: <br>Miles of Groomed Trail:",California,"85 Rock Creek Rd Mammoth Lakes, CA",,,,,,
-119.9088482,38.7379421,Hope Valley,"State: California<br>Address: 1000 Burnside Lake Road  Hope Valley, CA<br>Notes: <br>Website: <br>Urban Area: <br>ID: <br>Distance/Time to nearest Urban Area: <br>Miles of Groomed Trail:",California,"1000 Burnside Lake Road  Hope Valley, CA",,,,,,
-116.2058992,43.6433908,Bogus Basin,"State: Idaho<br>Address:  2600 N Bogus Basin Road Boise, Idaho<br>Notes: <br>Website: <br>Urban Area: <br>ID: <br>Distance/Time to nearest Urban Area: <br>Miles of Groomed Trail:",Idaho,"2600 N Bogus Basin Road Boise, Idaho",,,,,,
-114.2938755,43.5155169,BCRD Nordic,"State: Idaho<br>Address: 1050 Fox Acres Rd. Hailey, ID.<br>Notes: <br>Website: <br>Urban Area: <br>ID: <br>Distance/Time to nearest Urban Area: <br>Miles of Groomed Trail:",Idaho,"1050 Fox Acres Rd. Hailey, ID.",,,,,,
-114.353624,43.695609,Sun Valley,"State: Idaho<br>Address: 1 Sun Valley Rd. Sun Valley, ID<br>Notes: <br>Website: <br>Urban Area: <br>ID: <br>Distance/Time to nearest Urban Area: <br>Miles of Groomed Trail:",Idaho,"1 Sun Valley Rd. Sun Valley, ID",,,,,,
-114.6550743,43.8720784,Galena Lodge,"State: Idaho<br>Address: 15187 State Hwy 75 Ketchum, ID<br>Notes: <br>Website: <br>Urban Area: <br>ID: <br>Distance/Time to nearest Urban Area: <br>Miles of Groomed Trail:",Idaho,"15187 State Hwy 75 Ketchum, ID",,,,,,
-116.0479775,44.8329387,Jug Mountain,"State: Idaho<br>Address: 13834 Farm to Market Rd McCall, ID<br>Notes: <br>Website: <br>Urban Area: <br>ID: <br>Distance/Time to nearest Urban Area: <br>Miles of Groomed Trail:",Idaho,"13834 Farm to Market Rd McCall, ID",,,,,,
-111.9114578,40.7552338,Mountain Dell,"State: Utah<br>Address:  I-80 Salt Lake City, UT<br>Notes: <br>Website: <br>Urban Area: <br>ID: <br>Distance/Time to nearest Urban Area: <br>Miles of Groomed Trail:",Utah,"I-80 Salt Lake City, UT",,,,,,
-111.5011363,40.4808987,Soldier Hollow,"State: Utah<br>Address: 2002 Soldier Hollow Lane Midway, UT<br>Notes: <br>Website: <br>Urban Area: <br>ID: <br>Distance/Time to nearest Urban Area: <br>Miles of Groomed Trail:",Utah,"2002 Soldier Hollow Lane Midway, UT",,,,,,
-111.5785537,40.3914719,Sundance,"State: Utah<br>Address: 8841 N Alpine Loop Rd Sundance, UT<br>Notes: <br>Website: <br>Urban Area: <br>ID: <br>Distance/Time to nearest Urban Area: <br>Miles of Groomed Trail:",Utah,"8841 N Alpine Loop Rd Sundance, UT",,,,,,
-121.405239,43.9971703,Mt Bachelor,"State: Oregon<br>Address: 13000 SW Century Drive Bend, Oregon<br>Notes: <br>Website: <br>Urban Area: <br>ID: <br>Distance/Time to nearest Urban Area: <br>Miles of Groomed Trail:",Oregon,"13000 SW Century Drive Bend, Oregon",,,,,,
-121.6422905,45.3136991,Teacup Nordic,"State: Oregon<br>Address: 53126 OR-35, Mt Hood, OR 97041<br>Notes: <br>Website: <br>Urban Area: <br>ID: <br>Distance/Time to nearest Urban Area: <br>Miles of Groomed Trail:",Oregon,"53126 OR-35, Mt Hood, OR 97041",,,,,,
-120.1823871,48.4762676,Methow Trails,"State: Washington<br>Address: 309 Riverside Ave Winthrop, Washington<br>Notes: <br>Website: <br>Urban Area: <br>ID: <br>Distance/Time to nearest Urban Area: <br>Miles of Groomed Trail:",Washington,"309 Riverside Ave Winthrop, Washington",,,,,,
-120.6703006,47.5784587,Leavenworth,"State: Washington<br>Address: 9101 Icicle Rd Leavenworth, WA 98826<br>Notes: <br>Website: <br>Urban Area: <br>ID: <br>Distance/Time to nearest Urban Area: <br>Miles of Groomed Trail:",Washington,"9101 Icicle Rd Leavenworth, WA 98826",,,,,,
-117.3226638,47.678368,Mountain Gear,"State: Washington<br>Address: 6021 E Mansfield Spokane Valley, WA 99212<br>Notes: <br>Website: <br>Urban Area: <br>ID: <br>Distance/Time to nearest Urban Area: <br>Miles of Groomed Trail:",Washington,"6021 E Mansfield Spokane Valley, WA 99212",,,,,,
