Name,GEOID,totalPp,landAre,density,collgRt,uaType,lsadTyp,nps_tr_,fs_trl_,ttl_trl,Start,Nordic1,Coords1,Nordic2,Coords2,Nordic3,Coords3,nrdc1_t,nrdc2_t,nrdc3_t
"Minneapolis--St. Paul, MN--WI",57628,2437965,1021.84,2386,27%,U,75,0,0,0,"-93.2805185271093, 44.9782901893264",CIty Parks?,"-93.2650108, 44.977753",Eldora,"-105.5826786, 39.9372203",Devil's Thumb,"-105.7842685, 39.9663313",7.533333333,866.2833333,866.2833333
"Spokane, WA",83764,356753,164.28,2172,17%,U,75,0,10,10,"-117.353182704276, 47.6800148772572",Mountain Gear,"-117.3226638, 47.678368",49 Degrees,"-117.5629318, 48.3011041",Jug Mountain,"-116.0479775, 44.8329387",10.38333333,76.38333333,76.38333333
"Pittsfield, MA",69778," 51,380 ",33.50,1534,15%,U,75,0,4,4,"-73.2187601859322, 42.4800034951175",Notchview,"-73.1588148, 42.4764367",Prospect,"-73.077599, 42.875404",Pineridge,"-73.4677841, 42.6909853",11,66,66
"Bend, OR",6868," 76,017 ",39.72,1914,22%,U,75,1,184,185,"-121.312390052858, 44.0489193494386",Mt Bachelor,"-121.405239, 43.9971703",Teacup Nordic,"-121.6422905, 45.3136991",Mt Shasta,"-122.181241, 41.317558",12,140,140
"Salt Lake City--West Valley City, UT",78499,940865,277.88,3386,20%,U,75,0,11,11,"-111.926674288236, 40.6382649271826",Mountain Dell,"-111.9114578, 40.7552338",Sundance,"-111.5785537, 40.3914719",Soldier Hollow,"-111.5011363, 40.4808987",14.86666667,56.5,56.5
"Burlington, VT",11755," 109,727 ",61.76,1777,27%,U,75,0,7,7,"-73.1618890653367, 44.4810237176481",Catamount,"-73.048714, 44.447395",Sleepy Hollow,"-73.029276, 44.352089",Rikert,"-72.991087, 43.954787",20,40,40
"Boise City, ID",8785,300309,133.57,2248,24%,U,75,2,22,24,"-116.290519026866, 43.6179234684827",Bogus Basin,"-116.2058992, 43.6433908",Jug Mountain,"-116.0479775, 44.8329387",Galena Lodge,"-114.6550743, 43.8720784",20.45,136.6333333,136.6333333
"Boston, MA--NH--RI",9271,4084553,1873.45,2180,24%,U,75,0,1,1,"-71.1419059839264, 42.3739599846109",Weston,"-71.2679762, 42.3316045",Great Brook,"-71.3528633, 42.5564104",Wolfeboro XC,"-71.2152225, 43.5847667",21.98333333,45.13333333,45.13333333
"Bozeman, MT",9514," 34,810 ",19.48,1787,30%,C,76,20,9,29,"-111.056973899382, 45.6848470425538",Crosscut,"-110.887706, 45.828366",Lone Mountain,"-111.3245968, 45.2769552",Rendezvous,"-111.1041092, 44.6621493",26,68,68
"Provo--Orem, UT",72559,339132,168.90,2008,26%,U,75,0,26,26,"-111.729762057204, 40.2758987967777",Sundance,"-111.5785537, 40.3914719",Soldier Hollow,"-111.5011363, 40.4808987",Mountain Dell,"-111.9114578, 40.7552338",29,44.56666667,44.56666667
